latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
12.585,107.206,316.9,1.4,1.2,1/29/2021,600,A,61,6.0NRT,294.9,15.1,D
12.608,107.281,315.3,1.4,1.2,1/29/2021,600,A,33,6.0NRT,295.4,12.5,D
12.525,106.736,321.5,1.6,1.2,1/29/2021,600,A,56,6.0NRT,297.7,17.9,D
12.523,106.722,338.3,1.6,1.2,1/29/2021,600,A,89,6.0NRT,297.9,58.1,D
12.548,106.804,320.7,1.5,1.2,1/29/2021,600,A,65,6.0NRT,296.4,21.6,D
12.536,106.734,319,1.6,1.2,1/29/2021,600,A,47,6.0NRT,297.2,15.2,D
12.534,106.72,320.3,1.6,1.2,1/29/2021,600,A,41,6.0NRT,296.2,16.4,D
12.529,106.692,317.5,1.6,1.2,1/29/2021,600,A,42,6.0NRT,296.7,11.4,D
12.52,106.635,320,1.6,1.2,1/29/2021,600,A,73,6.0NRT,299,14.8,D
12.562,106.613,318.2,1.6,1.2,1/29/2021,600,A,49,6.0NRT,297,10.9,D
12.559,106.598,331,1.6,1.2,1/29/2021,600,A,84,6.0NRT,297.5,39.4,D
12.554,106.495,327.6,1.6,1.2,1/29/2021,600,A,62,6.0NRT,291.3,36.2,D
12.575,106.551,325.8,1.6,1.2,1/29/2021,600,A,80,6.0NRT,293.2,28.3,D
12.572,106.537,325,1.6,1.2,1/29/2021,600,A,79,6.0NRT,293.3,28,D
12.687,107.195,353.2,1.4,1.2,1/29/2021,600,A,97,6.0NRT,301.4,103.6,D
12.685,107.182,336,1.4,1.2,1/29/2021,600,A,88,6.0NRT,299.9,49.8,D
12.619,106.763,318,1.5,1.2,1/29/2021,600,A,59,6.0NRT,295.9,18.5,D
12.617,106.749,339.1,1.5,1.2,1/29/2021,600,A,90,6.0NRT,295.7,69.2,D
12.683,107.203,321.5,1.4,1.2,1/29/2021,600,A,76,6.0NRT,300.4,17.9,D
12.681,107.19,351.4,1.4,1.2,1/29/2021,600,A,96,6.0NRT,301.7,96.5,D
12.574,106.546,328.3,1.6,1.2,1/29/2021,600,A,82,6.0NRT,292.9,33.9,D
12.621,106.757,334.3,1.5,1.2,1/29/2021,600,A,87,6.0NRT,296.1,53.2,D
12.618,106.744,331.4,1.5,1.2,1/29/2021,600,A,85,6.0NRT,294.6,46.4,D
12.606,106.6,318.2,1.6,1.2,1/29/2021,600,A,56,6.0NRT,296.2,13.2,D
12.712,107.185,318.5,1.4,1.2,1/29/2021,600,A,64,6.0NRT,298.4,15.3,D
